Country,Cluster,Aggregated_Trade_Profile_Axis1,Aggregated_Trade_Profile_Axis2
BHR,0,-0.0683330396093634,-1.5273422669131251
DZA,0,-0.6283839266222709,-0.6367051412616609
EGY,0,-0.8488623391255115,0.21363875786737865
IRQ,0,-0.7923355441709232,3.262045039080902
JOR,0,-0.8170021885543918,-0.5352165520647076
KSA,0,-0.4348337630754989,-0.050649893367004525
KWT,0,-0.8218759276394404,-1.016518308831463
LBN,0,-0.6379625776979363,-0.08513957314384381
LBY,0,-0.7099926642955873,0.9124602034166852
MAR,0,-1.0934641051688085,0.0066878530212004395
OMN,0,-1.2799629287676877,2.2756906888382322
QAT,0,-0.7663386616758162,-1.5885928855705034
SD,0,0.1285777057498235,-0.875631962884388
UEA,1,8.762598360068258,0.38591832619256133
YEM,0,0.008171600585154606,-0.7406442843802619
